ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 300 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133)
Average QPS expected = 51692
Timestamp start: 1621819053487
Timestamp end: 1621820554088

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      579.2  1833.8    74.4   112.3   135.7   314.0   437.6   522.3   572.9   623.5   683.1   802.6  7764.2 31442.8 37910.1  12353.6    12441
read      445.7   582.2    68.9   110.8   131.4   313.6   400.0   454.8   502.5   576.5   726.1  1608.0  2309.3  5174.6 15172.1  56223.0    56208
read      547.0  1466.4    68.9   109.9   131.7   318.4   458.9   590.2   671.3   743.9   826.5   963.8  5189.4 30351.0 36188.7  17413.0    17446
read      465.8   711.9    68.9   124.2   154.3   361.8   430.2   475.4   524.4   604.5   722.2  1079.9  2500.2  9610.7 30725.2  86779.0    86943
read      499.2   721.2    68.9   108.7   128.2   311.7   402.1   477.5   564.2   866.4  1329.0  1637.4  2212.4  8042.9 30695.8  49054.0    49138
read      498.9   700.4    68.9   109.9   129.8   313.2   405.5   483.6   569.7   876.6  1341.3  1665.2  2159.5  6876.9 30125.2  49856.8    49839
read      505.9   752.6    68.9   106.9   126.5   313.1   404.1   477.1   554.8   834.6  1390.7  1706.2  2222.6  8160.4 30936.4  47725.8    47752
read      553.2  1232.7    68.9   107.3   127.3   314.8   446.2   618.4   825.6   955.7  1066.0  1225.6  3512.0 15929.6 32297.4  27178.2    27181
read      636.6  2472.6    74.4   122.4   157.7   269.8   334.4   372.6   400.5   434.5   483.5   736.6  9502.5 32345.1 37671.0   6153.4     6170
read      599.6  2106.3    80.4   119.0   152.5   283.8   361.8   408.2   440.9   479.6   534.3   785.1  8204.9 32109.5 37446.3   7231.2     7187
read      439.9   658.5    68.9   128.6   161.7   362.7   427.1   466.0   503.8   570.6   676.2   837.1  2050.6  8891.0 29596.9  99109.8    99387
read      397.8   527.7    68.9   121.0   147.3   334.1   406.8   452.4   489.6   541.8   621.0   741.1  2155.0  5081.7 24146.2  91993.2    91970
read      407.8   688.9    68.9   115.1   137.8   323.4   399.7   446.5   485.2   539.0   617.6   751.0  2586.5  7344.3 31501.1  79452.6    79658
read      438.0   672.3    68.9   113.7   135.4   324.7   411.6   463.8   507.4   571.6   669.0  1213.6  2390.4  7597.9 30735.9  59053.2    59230
read      409.5   662.9    68.9   114.3   136.8   323.1   401.2   449.3   488.2   541.1   616.8   756.6  2528.0  8251.7 30443.9  78171.0    78081
read      411.2   647.7    63.8   112.3   133.5   320.9   402.6   450.3   489.0   544.0   619.5   787.5  2301.8  8247.0 30925.0  64448.4    64242
read      504.0   789.4    68.9   109.1   128.8   319.7   418.2   519.6   678.1  1010.1  1204.2  1416.7  2020.0  8436.6 32147.5  37819.2    37702
read      482.5   548.7    68.9   108.2   126.6   313.2   406.9   490.1   586.2   997.0  1296.9  1538.5  1932.0  3878.6 12216.1  40776.8    40686
read      478.3   484.5    68.9   111.1   131.1   320.5   437.2   567.1   819.7   999.4  1129.0  1275.8  1578.3  3787.4 12297.6  30584.8    30376
