1621802196.7147338	3,2
1621802200.9123209	3
1621802207.4516208	3,2
1621802210.2202883	3
1621802217.0515242	3,2
1621802221.1843314	3
1621802234.117923	3,2
1621802235.5449958	3
1621802236.9704401	3,2
1621802241.6815944	3
1621802247.2213972	3,2
1621802249.352715	3
1621802260.9684415	3,2
1621802273.425439	3
1621802281.6266007	3,2
1621802283.0634718	3
1621802299.338426	3,2
1621802301.4632287	3
1621802305.579993	3,2
1621802307.0360925	3
1621802309.1213768	3,2
1621802311.2188523	3
1621802315.351476	3,2
1621802317.4991813	3
1621802318.903359	3,2
1621802321.0124598	3
1621802325.1306667	3,2
1621802327.2243636	3
1621802329.30169	3,2
1621802333.4507706	3
1621802339.5872927	3,2
1621802341.0183122	3
1621802351.2239432	3,2
1621802353.3454618	3
1621802355.4269555	3,2
1621802356.9310317	3
1621802359.0087516	3,2
1621802363.16519	3
1621802367.280064	3,2
1621802369.4681275	3
1621802371.560069	3,2
1621802373.2009594	3
1621802375.2781076	3,2
1621802382.1312509	3
1621802382.8650959	3,2
1621802384.9930148	3
1621802396.5730329	3,2
1621802399.365866	3
1621802408.38533	3,2
1621802409.163876	3
1621802413.3206556	3,2
1621802415.4410245	3
1621802427.0933392	3,2
1621802431.2730908	3
1621802435.4172854	3,2
1621802438.942626	3
1621802445.1158175	3,2
1621802447.2276206	3
1621802460.9094183	3,2
1621802463.0224693	3
1621802467.1975906	3,2
1621802469.31917	3
1621802471.409187	3,2
1621802473.5300195	3
1621802474.960917	3,2
1621802477.1197972	3
1621802487.357251	3,2
1621802492.9008844	3
1621802513.2820604	3,2
1621802515.3681273	3
1621802522.0603018	3,2
1621802522.7924662	3
1621802525.4988365	3,2
1621802532.940067	3
1621802538.9726937	3,2
1621802545.0594237	3
1621802547.1119852	3,2
1621802553.1850162	3
1621802555.2249377	3,2
1621802561.2844336	3
1621802575.2830744	3,2
1621802577.360669	3
1621802583.3856812	3,2
1621802585.435518	3
1621802587.4790184	3,2
1621802591.5269616	3
1621802592.9137866	3,2
1621802597.6425476	3
1621802603.004735	3,2
1621802605.0834486	3
1621802607.794663	3,2
1621802611.1858213	3
1621802617.226529	3,2
1621802619.3333783	3
1621802621.3908124	3,2
1621802623.4615936	3
1621802628.1796777	3,2
1621802630.9075255	3
1621802632.9477394	3,2
1621802635.014345	3
1621802641.7078037	3,2
1621802647.107562	3
1621802649.1620789	3,2
1621802651.2251546	3
1621802659.2387927	3,2
1621802665.2944226	3
1621802669.3491242	3,2
1621802671.4237177	3
1621802673.4757874	3,2
1621802674.878558	3
1621802680.2414172	3,2
1621802682.9728317	3
1621802685.0160468	3,2
1621802689.0914853	3
1621802693.1513617	3,2
1621802695.202589	3
1621802707.2069657	3,2
1621802713.3025413	3
1621802716.0086694	3,2
1621802721.4090648	3
1621802728.0980713	3,2
1621802731.5288184	3
1621802734.8959944	3,2
1621802739.0039468	3
1621802745.025697	3,2
1621802755.1225073	3
1621802767.1244445	3,2
1621802771.187603	3
1621802775.2292013	3,2
1621802780.6386359	3
1621802781.370351	3,2
1621802785.4589822	3
1621802789.5206127	3,2
1621802790.9240456	3
1621802796.9494252	3,2
