ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 2 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 750 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737, 90913, 75270, 46729, 25590, 61310, 82023, 7307, 29858, 61208, 75084, 41768, 68783, 78580, 99500, 89173, 89685, 45573, 78107, 35025, 73302, 21138, 9181, 68634, 46631, 99853, 36240, 65166, 85440, 58337, 85023, 75995, 55750, 13167, 95292, 49427, 62972, 73620, 46383, 13305, 27078, 90422, 86701, 67621, 18340, 6182, 28474, 75726, 10498, 70275, 71551, 52123, 55103, 73891, 46019, 63980, 10187, 79908, 94400, 60322, 98940, 72466, 36355, 96332, 36858, 95974, 11015, 22254, 55030, 79501, 91439, 70261, 34410, 96661, 63205, 7578, 15095, 7594, 6752, 97648, 28525, 78342, 87761, 9494, 12479, 28819, 91715, 62754, 30535, 43109, 82156, 63362, 79067, 99705, 16698, 50274, 35396, 37248, 6526, 13756, 9457, 66846, 10182, 80553, 5614, 74666, 55842, 38357, 14076, 73144, 36311, 20951, 93037, 49364, 49889, 33119, 52652, 13044, 21800, 12702, 68334, 31654, 45402, 57465, 46859, 34011, 31014, 16076, 47531, 19334, 84699, 46454, 63824, 46099, 77617, 56446, 31654, 43635, 89260, 39843, 13930, 89183, 66809, 64152, 51499, 19378, 68779, 8299, 79092, 58176, 39544)
Average QPS expected = 52042
Timestamp start: 1621802194320
Timestamp end: 1621803694862

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      459.5   584.6    68.9   114.9   137.8   315.2   403.8   465.5   521.6   608.8   835.3  1584.6  2513.2  4708.3 15543.6  66101.5    65892
read      472.8   647.8    68.9   106.8   125.7   303.7   396.6   480.6   578.2   899.1  1187.3  1401.0  1938.9  8064.7 24101.9  39488.5    39560
read      689.2  2443.4    74.4   110.4   134.7   307.7   414.9   475.7   518.3   568.4   638.8  1110.0 10106.5 32309.0 37934.1  10045.5    10016
read      511.3   701.3    68.9   108.7   128.7   303.8   400.2   491.6   601.5   972.8  1387.8  1724.3  2362.2  5920.7 26523.5  54882.5    55224
read      547.4  1414.9    74.4   107.5   128.2   314.3   483.7   645.0   726.0   800.0   886.4  1022.4  4351.4 30319.2 36683.6  20059.0    19982
read      510.2   904.2    68.9   107.9   127.1   303.5   395.2   472.0   565.4   887.3  1317.2  1613.8  2188.9 11850.7 32103.6  47856.5    48114
read      489.4   699.6    68.9   107.1   125.7   306.5   416.5   544.9   787.9  1023.2  1173.8  1334.7  1731.0  7626.8 31553.0  36124.5    36283
read      532.7  1134.9    74.4   106.8   127.3   313.4   467.8   667.3   778.8   869.5   963.5  1125.4  3386.8 15801.1 35747.6  23365.5    23315
read      583.7  1799.6    74.4   109.5   132.8   317.1   436.7   508.2   553.8   605.0   672.3   837.6  7359.3 31051.8 37436.6  11223.0    11150
read      567.6   680.0    74.4   166.9   231.9   412.3   471.9   547.3   675.6   791.6   959.6  1601.0  2584.5  8070.2 28982.6  97845.0    98724
read      436.4   475.0    68.9   108.6   127.0   294.2   383.2   445.8   509.0   618.7   993.5  1538.1  2123.2  3519.5  7848.3  57060.0    56880
read      593.1  1890.5    74.4   109.0   130.9   314.5   452.0   544.8   599.4   653.2   717.9   841.0  6928.8 31212.7 35554.4  13476.0    13467
read      667.6  1151.2    74.4   273.6   322.5   444.5   506.0   608.1   722.1   842.0   990.1  1705.4  4038.0 15174.1 35442.0  98819.0    99368
read      478.9   779.2    68.9   107.0   124.6   298.1   395.1   483.7   593.3   887.8  1210.4  1457.4  1904.5  7020.1 34784.9  46311.5    46206
read      466.1   758.8    68.9   115.9   141.7   331.9   414.9   470.0   521.1   598.8   722.6  1441.4  2679.0  8852.0 31389.5  71517.5    71651
read      576.1  1370.5    68.9   109.1   128.7   317.8   459.1   603.8   733.7   846.1   964.6  1160.8  6087.8 23349.4 32371.7  22915.0    22741
read      468.8   539.1    68.9   107.9   126.7   291.7   387.2   464.9   558.3   829.5  1272.8  1631.4  2115.6  3062.6 11897.2  56745.5    56654
read      636.0  1091.2    74.4   215.4   303.5   435.6   511.6   592.8   693.9   788.3   935.3  1584.2  3773.5 12710.7 32356.6  99222.0    99570
read      442.1   707.6    68.9   106.8   125.5   306.6   422.1   518.3   637.6   777.2   892.8  1035.4  1494.5  7509.9 31133.2  23094.5    23047
read      438.8   592.0    74.4   114.5   138.1   325.3   406.3   460.2   504.8   570.3   664.6  1208.4  2741.6  5918.3 22190.2  69845.5    70008
read      488.7   795.5    68.9   106.8   125.3   304.1   402.5   501.2   639.4   966.4  1207.6  1433.1  1948.5  7316.8 33703.2  42734.5    42943
read      492.8   664.6    68.9   106.0   124.4   302.4   398.4   494.2   625.3   986.4  1281.2  1548.8  2017.5  7080.4 19780.7  47065.0    46704
read      544.2   933.1    68.9   120.1   152.5   349.3   424.0   501.6   587.1   692.1  1397.7  1718.0  2811.5 12423.4 31643.8  75779.5    75970
read      509.3  1190.1    68.9   106.8   125.1   302.5   427.8   550.2   689.1   801.2   905.7  1059.4  3312.4 17233.1 36389.3  22020.5    21917
read      582.7  1202.3    68.9   130.6   172.5   368.9   440.9   506.5   580.9   679.1   801.6  1714.2  4357.3 12710.1 36995.4  81718.0    82027
read      417.2   781.8    68.9   114.3   137.9   322.5   396.7   443.6   482.7   538.5   621.9   765.6  2742.5  9672.2 31944.8  81646.5    81583
read      504.7  1325.5    74.4   109.1   131.8   311.6   421.1   504.8   578.6   649.9   727.1   855.0  5661.2 18809.8 32951.5  14179.0    14259
read      726.2  2794.1    74.4   112.1   138.9   281.9   363.0   407.3   438.1   476.9   536.3  1004.8 13297.2 34722.9 49641.1   7732.5     7821
read      648.2  2190.6    74.4   107.1   129.0   317.1   478.3   601.2   671.9   740.2   816.2   944.9  8960.5 31925.8 38322.0  17458.0    17727
read      475.5   649.5    68.9   113.7   136.8   319.0   400.1   461.6   523.8   619.1   924.8  1699.8  2526.1  6373.6 28137.3  65463.0    65559
read      488.6   647.7    68.9   106.9   126.1   308.2   409.3   507.1   651.8   967.5  1213.1  1450.7  2064.8  6551.8 27344.2  41307.5    41133
read      569.8  1304.6    68.9   105.9   125.8   315.6   453.6   643.8   826.6   948.2  1071.8  1249.4  4722.2 17049.2 32425.5  28810.5    28693
read      495.6   784.4    68.9   107.5   125.8   293.8   386.7   461.7   548.6   837.6  1340.5  1671.8  2238.2  8497.5 30984.2  52942.0    53141
read      469.3   537.7    68.9   105.6   123.9   290.8   384.1   454.5   526.6   691.6  1303.4  1754.9  2262.4  3135.9 11672.6  54554.0    54512
read      595.2  1979.1    68.9   106.1   127.7   312.5   459.5   571.6   629.1   685.3   751.9   871.7  6907.9 31779.7 48769.0  14872.0    14835
read      567.5   894.4    74.4   160.1   220.8   411.8   482.9   544.5   645.7   760.8   923.1  1563.9  2584.5 12972.4 31895.7  98699.0    98446
read      484.0   802.4    74.4   107.4   125.9   310.4   405.6   486.6   577.7   820.5  1130.0  1361.7  1995.1  9689.7 30786.8  38029.5    38117
read      619.2  1049.0    68.9   133.0   177.4   367.9   468.8   592.7   690.5  1082.5  1527.8  1808.2  2738.1 12877.0 32481.1  78221.0    77994
read      532.8  1098.9    68.9   106.8   126.2   312.9   441.2   595.9   801.9   952.7  1092.9  1258.0  3001.9 12472.7 36649.8  30179.0    30209
read      433.7   573.0    68.9   112.6   135.1   317.9   399.3   454.3   501.2   570.4   676.3  1306.5  2626.7  6039.0 16517.1  68103.0    68315
read      392.5   626.1    68.9   116.4   141.5   324.0   393.5   435.6   471.9   525.2   603.2   727.1  2176.1  8221.6 30723.2  92328.5    91940
read      504.3   841.9    68.9   107.7   127.6   305.0   400.4   477.0   563.9   792.4  1296.3  1620.6  2460.5 10882.0 31421.9  49316.0    49308
read      509.1   771.4    68.9   107.1   126.2   304.7   406.1   498.4   630.9  1015.4  1324.1  1584.7  2185.3  7656.7 31345.4  46804.0    46880
