ubuntu@client-measure-70l6:~/memcache-perf$ ./mcperf -s 100.96.3.4 -a 10.156.0.58 -a 10.156.0.61             --noload -T 6 -C 4 -D 4 -Q 1000 -c 4 -t 20            --scan 30000:30500:10
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      226.5   314.3    68.9   106.6   116.7   187.5   233.4   263.5   285.9   312.8   346.8   403.5   585.8  4047.5 13375.8  29989.9    30000
read      225.2   330.1    68.9   105.7   115.1   183.2   227.7   257.2   280.2   308.9   344.9   401.8   586.2  5176.0 11328.2  30060.9    30010
read      223.7   328.9    74.4   108.7   118.0   181.7   223.6   253.1   275.9   304.9   342.2   401.5   591.4  4258.1 14789.1  30096.0    30020
read      231.2   377.4    68.9   108.0   117.5   188.9   233.5   264.0   287.4   316.1   354.9   415.7   604.2  4589.7 19206.8  30037.3    30030
read      223.7   293.5    74.4   107.2   116.1   183.2   227.1   256.7   280.4   309.9   347.4   406.8   595.4  4172.3 12290.4  30017.3    30040
read      216.1   299.3    74.4   106.8   115.4   174.9   215.7   244.8   268.4   297.0   335.9   394.7   569.5  4601.9 12128.4  30022.0    30050
read      227.8   306.2    68.9   107.0   116.5   184.8   230.2   260.2   283.4   312.6   351.5   415.3   629.4  5024.1 10827.0  30050.6    30060
read      210.8   314.8    68.9   105.1   113.5   170.7   209.3   236.2   259.0   287.0   323.5   382.8   558.8  4102.8 13240.2  30046.3    30070
read      232.2   357.2    74.4   108.3   117.8   190.6   236.5   267.1   290.7   319.3   358.2   420.0   617.4  4542.1 13889.5  30019.0    30080
read      226.0   385.0    74.4   105.7   114.4   179.3   224.3   254.3   278.6   308.8   347.5   411.8   637.9  5400.3 16178.0  30030.5    30090
read      227.8   376.2    74.4   107.5   116.6   179.7   223.9   254.0   278.5   309.2   348.5   415.6   656.5  5443.5 15362.2  30197.5    30100
read      227.9   321.1    74.4   108.2   117.5   184.3   230.3   260.5   284.2   314.1   353.9   417.6   629.3  4856.8 12337.1  30086.2    30110
read      222.5   209.5    74.4   110.5   120.4   187.4   231.6   261.8   285.8   316.6   358.6   418.2   570.6  2245.8  8513.1  30118.2    30120
read      218.1   224.1    68.9   110.5   120.2   184.0   226.9   256.4   279.2   307.6   345.9   404.9   545.0  2099.3  9797.0  30102.6    30130
^C
