ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 2 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 750 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737, 90913, 75270, 46729, 25590, 61310, 82023, 7307, 29858, 61208, 75084, 41768, 68783, 78580, 99500, 89173, 89685, 45573, 78107, 35025, 73302, 21138, 9181, 68634, 46631, 99853, 36240, 65166, 85440, 58337, 85023, 75995, 55750, 13167, 95292, 49427, 62972, 73620, 46383, 13305, 27078, 90422, 86701, 67621, 18340, 6182, 28474, 75726, 10498, 70275, 71551, 52123, 55103, 73891, 46019, 63980, 10187, 79908, 94400, 60322, 98940, 72466, 36355, 96332, 36858, 95974, 11015, 22254, 55030, 79501, 91439, 70261, 34410, 96661, 63205, 7578, 15095, 7594, 6752, 97648, 28525, 78342, 87761, 9494, 12479, 28819, 91715, 62754, 30535, 43109, 82156, 63362, 79067, 99705, 16698, 50274, 35396, 37248, 6526, 13756, 9457, 66846, 10182, 80553, 5614, 74666, 55842, 38357, 14076, 73144, 36311, 20951, 93037, 49364, 49889, 33119, 52652, 13044, 21800, 12702, 68334, 31654, 45402, 57465, 46859, 34011, 31014, 16076, 47531, 19334, 84699, 46454, 63824, 46099, 77617, 56446, 31654, 43635, 89260, 39843, 13930, 89183, 66809, 64152, 51499, 19378, 68779, 8299, 79092, 58176, 39544)
Average QPS expected = 52042
Timestamp start: 1621806341797
Timestamp end: 1621807842370

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      727.1   947.2    68.9   139.7   193.8   397.1   540.0   770.7  1420.2  1564.0  1747.3  2016.9  3129.6  9711.7 35280.7  66149.5    65892
read      506.7   797.7    68.9   108.9   129.1   323.4   415.9   493.1   570.8   793.0  1197.0  1513.1  2903.8 10390.4 31360.0  39665.0    39560
read      620.0  2082.6    68.9   114.0   139.6   309.1   417.1   483.5   530.5   580.6   652.8   935.4  8534.4 31641.9 40966.6  10007.5    10016
read      522.4   698.1    68.9   111.4   132.6   314.1   411.5   505.5   635.0  1044.0  1408.8  1692.2  2315.5  7331.2 30384.4  54968.5    55224
read      545.3  1265.0    68.9   108.2   130.3   319.2   477.8   658.2   744.9   818.5   901.7  1053.7  4779.0 23240.4 35673.8  20128.0    19982
read      494.5   611.5    68.9   107.7   126.5   307.9   402.0   494.7   619.5  1025.8  1307.2  1575.1  2006.5  6799.6 10563.1  48109.5    48114
read      552.0  1058.1    68.9   107.8   127.6   318.0   424.5   546.6   828.3  1080.0  1249.3  1455.8  3252.1 13092.8 32424.1  36445.0    36283
read      493.4   875.0    68.9   106.7   126.9   313.2   459.3   646.9   771.7   866.2   968.0  1095.7  2405.6  9955.7 32218.0  23261.5    23315
read      656.4  2234.8    74.4   110.3   135.4   313.9   435.4   512.8   559.8   612.8   679.6   859.0  9938.2 31918.0 36889.3  11177.5    11150
read      667.9   894.9    68.9   337.2   358.4   450.2   502.9   710.5   819.1   894.4  1401.2  1664.7  2690.1 12509.4 31956.7  98583.0    98724
read      389.6   521.2    68.9   108.5   128.2   312.8   396.4   441.5   477.2   526.6   595.9   744.1  2083.3  5375.7 18711.3  56894.0    56880
read      672.1  2249.1    68.9   108.6   130.1   312.8   442.6   545.2   602.3   661.5   734.4  1024.2  9673.5 32325.7 48185.9  13442.0    13467
read      471.2   596.8    68.9   132.7   171.8   379.3   438.2   478.7   525.1   616.6   741.9   930.0  2666.7  5876.1 25293.1  99123.0    99368
read      488.4   707.6    68.9   108.9   128.3   316.7   407.1   484.5   565.5   811.0  1247.1  1553.3  2060.4  6525.4 30780.4  46192.0    46206
read      491.3   705.6    68.9   118.7   147.6   338.0   424.5   491.1   551.7   637.9   894.9  1590.9  2602.8  7599.3 31202.2  71641.5    71651
read      482.4   968.8    68.9   107.7   127.2   310.7   426.7   523.6   665.2   812.0   930.9  1082.4  2962.1 14040.6 31883.7  22597.5    22741
read      480.7   639.8    68.9   110.3   131.0   314.2   405.1   474.4   545.5   686.9  1207.0  1630.1  2272.0  7023.0 28065.1  56758.0    56654
read      393.3   538.1    68.9   122.1   151.1   337.8   406.9   448.7   482.6   533.4   611.7   730.9  1407.4  6652.6 25950.1  99682.0    99570
read      514.3  1143.4    68.9   105.8   126.1   310.8   454.4   639.1   764.8   857.6   955.4  1089.4  3114.8 13094.6 36728.4  22894.5    23047
read      458.6   779.5    68.9   113.0   137.2   331.1   404.3   457.7   506.4   579.2   685.1  1481.7  2499.9 10300.8 31319.1  70014.0    70008
read      503.6   761.6    68.9   107.9   126.7   315.6   407.4   494.1   595.4   966.3  1247.9  1488.7  2266.5  7647.5 31127.6  42680.0    42943
read      496.5   715.1    68.9   106.9   125.3   307.8   398.3   491.3   618.7  1029.2  1296.3  1542.7  2009.9  6727.5 30996.2  46711.5    46704
read      580.2  1034.9    68.9   123.4   158.5   375.0   451.6   525.5   616.3   761.2  1448.7  1764.7  2876.3 12796.5 32263.3  76116.0    75970
read      482.2  1063.3    68.9   106.7   126.0   302.0   418.0   504.6   634.4   774.1   888.9  1049.0  3237.3 10817.6 38316.2  21870.0    21917
read      638.0  1200.4    68.9   142.5   196.7   386.1   453.7   529.5   645.0   738.1  1006.2  2010.1  4594.2 13416.5 32410.4  82004.5    82027
read      390.6   470.1    68.9   113.7   137.0   322.1   396.2   440.9   476.1   527.8   606.5   739.6  2429.1  5311.9 11465.6  81711.5    81583
read      557.5  1553.5    68.9   110.5   133.3   317.6   446.8   552.9   621.8   686.9   761.0   916.9  5830.9 29954.2 32441.4  14468.5    14259
read      573.2  2111.5    74.4   114.9   145.0   284.2   367.7   417.7   450.9   490.2   542.3   677.6  7777.4 35442.9 40174.0   7880.0     7821
read      679.6  2228.6    68.9   109.5   134.8   329.5   497.2   644.9   717.9   786.7   864.7  1039.8  8736.6 32125.2 44664.3  17653.0    17727
read      432.7   587.5    68.9   111.4   133.1   313.9   397.7   450.1   496.3   561.6   664.7  1338.2  2501.3  6918.0 13763.3  65394.0    65559
read      462.3   582.2    68.9   107.3   126.1   313.6   402.5   479.3   563.2   822.6  1160.9  1404.4  1843.3  5417.9 28164.1  41237.0    41133
read      531.3   991.9    68.9   107.0   126.7   311.7   444.0   639.0   835.4   966.8  1086.4  1248.8  3541.9  9590.7 37516.7  28732.5    28693
read      490.3   655.0    68.9   107.8   127.1   302.0   391.4   467.1   559.0   921.4  1344.2  1662.8  2156.7  5785.8 28356.9  52881.5    53141
read      536.9   808.6    68.9   112.5   134.3   323.4   417.9   505.3   615.8   990.8  1430.7  1761.4  2387.4  9259.2 35383.8  54499.5    54512
read      690.2  2217.6    74.4   110.5   135.9   330.3   491.5   600.7   663.4   730.1   812.5  1067.1  8423.6 32058.1 38707.6  14917.0    14835
read      686.0   979.0    74.4   327.6   356.4   460.5   524.9   726.6   843.8   935.6  1462.4  1724.9  2612.9 13722.8 35433.1  98361.5    98446
read      463.1   753.9    68.9   106.2   124.7   314.3   402.6   475.2   547.2   721.5  1092.2  1334.8  1947.9  7660.2 30484.0  38108.0    38117
read      511.1   944.4    68.9   120.0   150.6   357.4   426.8   480.9   540.4   636.1   777.4  1566.9  2879.0 12712.1 31778.7  77966.5    77994
read      522.4  1029.0    68.9   107.5   128.0   318.3   423.3   523.0   698.8   957.7  1102.6  1277.9  3119.8 12367.9 35803.5  30359.0    30209
read      427.4   545.0    68.9   111.6   134.1   315.9   395.5   446.3   489.1   548.4   638.6  1248.0  2566.1  4560.1 11344.1  68471.0    68315
read      396.5   529.0    68.9   117.7   143.8   330.3   400.4   444.3   479.7   532.4   611.4   737.0  2362.9  5117.6 23204.5  91981.5    91940
read      471.1   653.1    68.9   108.2   127.7   310.5   403.4   471.6   545.6   702.0  1170.5  1568.4  2027.1  6393.1 30140.1  49635.5    49308
read      494.0   645.2    68.9   107.1   126.6   311.7   406.0   493.8   604.0   973.5  1299.3  1565.9  1998.4  5880.6 24519.1  46795.5    46880
