ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Timestamp start: 1621811193672
Timestamp end: 1621812694048

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      691.4  2503.4    74.4   125.8   175.0   343.3   427.2   469.1   499.7   535.4   584.8   745.2  9231.3 32177.9 40461.5   6175.6     6170
read      652.9  2178.9    74.4   121.6   161.7   354.7   452.2   500.7   532.6   569.8   621.8   783.0  8632.5 32124.6 39864.0   7188.9     7187
read      429.1   531.4    68.9   129.0   163.4   369.3   444.4   489.5   525.6   578.5   667.6   823.4  1792.5  5341.6 24242.8  99296.2    99387
read      403.4   581.5    68.9   119.7   146.5   339.6   414.3   460.1   497.7   547.0   622.1   746.8  2032.0  6450.2 29738.6  92062.3    91970
read      412.2   551.3    68.9   115.8   139.6   334.5   413.6   462.3   502.3   556.4   636.6   790.6  2431.9  5953.4 20335.6  79633.2    79658
read      416.5   591.9    68.9   111.2   131.8   329.1   413.8   464.3   505.4   561.3   639.6   870.1  2168.1  6529.6 29674.2  59185.7    59230
read      416.6   572.9    68.9   115.9   140.0   336.4   416.5   465.7   505.9   559.7   638.9   790.3  2523.5  6439.5 23746.9  78090.0    78081
read      411.5   557.4    68.9   111.3   132.0   325.8   408.8   460.1   501.0   554.5   633.9   830.6  2240.1  5861.8 25357.3  64206.4    64242
read      524.4   783.7    68.9   107.4   126.5   322.6   439.6   572.5   823.1  1086.9  1265.5  1457.7  1965.1  8547.0 31583.9  37712.7    37702
read      525.6   814.5    68.9   106.9   126.1   319.9   425.6   532.0   691.9  1100.5  1322.9  1538.6  2049.4  8309.9 31631.9  40705.0    40686
read      554.7  1071.3    68.9   107.8   126.8   331.8   483.6   676.6   893.0  1036.2  1163.2  1337.5  2435.5 14747.3 32472.3  30433.8    30376
read      526.4   730.5    68.9   109.0   128.0   323.9   438.3   571.8   824.1  1098.0  1285.6  1491.5  1994.4  8002.4 29901.8  38433.9    38416
read      422.1   600.3    68.9   112.3   134.1   327.9   412.2   462.7   504.2   560.1   640.7   867.7  2400.0  6068.0 28349.9  65704.2    65892
read      529.6   839.9    68.9   107.6   126.7   320.8   431.0   546.9   748.2  1087.7  1289.5  1495.8  2159.1  9066.7 31638.8  39623.6    39560
read      665.4  2057.0    68.9   115.0   143.3   380.5   509.8   573.3   615.9   663.5   727.4   870.4  8499.4 31784.6 37673.6  10112.8    10016
read      488.1   685.8    68.9   104.3   122.1   294.0   382.6   446.4   508.4   616.6  1476.9  1913.7  2406.4  5672.3 20285.0  55221.0    55224
read      560.7  1227.8    68.9   108.0   128.8   354.4   544.4   704.8   787.3   865.2   955.2  1088.9  3781.7 15121.8 36701.6  19938.7    19982
read      478.0   600.7    68.9   107.7   125.1   297.7   399.5   496.9   615.5   964.4  1277.0  1534.0  1921.4  4697.1 16007.0  48057.7    48114
read      488.7   614.5    63.8   108.1   126.0   311.6   448.3   593.1   818.3  1008.5  1153.2  1330.2  1659.5  7190.4 24269.4  36291.3    36283
read      527.6   894.1    68.9   106.4   125.8   334.3   517.8   720.1   826.5   917.4  1011.9  1152.7  2885.8  8832.7 32360.7  23325.9    23315
read      581.9  1640.8    63.8   111.1   136.4   368.0   509.0   576.8   618.9   666.0   727.1   861.7  5912.8 30619.1 37245.5  11144.9    11150
